loss,accuracy,val_loss,val_accuracy
1.2670477628707886,0.6277438998222351,0.906343936920166,0.7258418798446655
0.9181755781173706,0.719737708568573,0.8421950936317444,0.7393850684165955
0.8156210780143738,0.747153639793396,0.8398111462593079,0.7393850684165955
0.7564951777458191,0.7661899924278259,0.8149999380111694,0.7459736466407776
0.7217934727668762,0.7724747061729431,0.8302503228187561,0.7423133254051208
0.6621688604354858,0.7916021347045898,0.8098804950714111,0.752196192741394
0.6383288502693176,0.7961562871932983,0.8121688365936279,0.7551244497299194
0.6068325042724609,0.8074505925178528,0.8350749611854553,0.7554904818534851
0.5719444751739502,0.8127334117889404,0.8048586249351501,0.7595168352127075
0.5557070970535278,0.8205665349960327,0.8009929656982422,0.7620790600776672
