loss,accuracy,val_loss,val_accuracy
2.7281911373138428,0.23253484070301056,2.2898731231689453,0.31478771567344666
2.312373638153076,0.306949645280838,2.140150547027588,0.36639824509620667
2.1757874488830566,0.3435649871826172,2.071207046508789,0.3729868233203888
2.06962251663208,0.37152746319770813,1.9976592063903809,0.39714494347572327
1.9825031757354736,0.3976682722568512,1.9852957725524902,0.3978770077228546
1.9071377515792847,0.41369888186454773,1.9077967405319214,0.42423132061958313
1.824965000152588,0.44484925270080566,1.8421316146850586,0.4264275133609772
1.7730655670166016,0.4529556334018707,1.8441076278686523,0.449487566947937
1.7444961071014404,0.46598049998283386,1.8227728605270386,0.4414348602294922
1.675148606300354,0.48428818583488464,1.7736889123916626,0.4582723379135132
